invoice_id,client_id,client_name,invoice_ref,business_unit,region,account_type,payment_method,revenue,cost,profit,tax,margin,days_to_pay,notes,invoice_date
INV000001,CL5070,James-Greene,REF-qU33yH21,Corporate Banking,VIC,Government,Cheque,204969.15,96340.91,108628.24,32588.47,53.0,29,,2023-08-24
INV000002,CL4268,"Graves, Davis and Hanson",REF-nY36Yx99,Insurance,WA,Government,Cheque,351741.66,151756.37,199985.29,59995.59,56.86,86,,2024-05-16
INV000003,CL6551,Hensley-Lewis,REF-fT72HR95,Retail Banking,VIC,Non-profit,EFT,110232.48,61897.65,48334.83,14500.45,43.85,29,,2024-08-03
INV000004,CL9754,Harrison Group,REF-Bn04xI80,Retail Banking,NT,Retail,Credit Card,138352.61,55710.02,82642.59,24792.78,59.73,33,,2024-01-07
INV000005,CL8237,Murray and Sons,REF-in97Tk05,Treasury,QLD,Retail,Credit Card,488472.38,256513.32,231959.06,69587.72,47.49,34,Nisi voluptatem velit optio alias.,2023-06-14
INV000006,CL7970,Jackson Ltd,REF-jt61Na61,Operations,VIC,SME,EFT,16535.4,9355.8,7179.6,2153.88,43.42,60,,2023-03-25
INV000007,CL1907,Rivera-Mills,REF-qI30zW37,Operations,WA,Non-profit,EFT,193625.45,86654.29,106971.16,32091.35,55.25,58,,2023-07-25
INV000008,CL3145,Gomez Ltd,REF-XV70jM29,Operations,QLD,Retail,Cheque,413441.24,183660.03,229781.21,68934.36,55.58,67,Commodi blanditiis eos voluptatibus illum.,2023-02-27
INV000009,CL3384,Gilmore LLC,REF-xl73Re41,Corporate Banking,ACT,Non-profit,Credit Card,63763.81,32110.87,31652.94,9495.88,49.64,29,,2024-02-24
INV000010,CL2186,"Roberts, Willis and Williams",REF-Zz36yA65,Treasury,SA,Enterprise,BPAY,63020.57,43346.93,19673.64,5902.09,31.22,30,,2024-11-25
INV000011,CL7323,Ferguson-White,REF-ot05Po67,Insurance,ACT,Retail,Direct Debit,172030.3,91509.97,80520.33,24156.1,46.81,50,Autem porro et quisquam.,2024-02-13
INV000012,CL4771,"Craig, Wright and Phillips",REF-eG17sR64,Wealth Management,WA,Government,Direct Debit,23608.29,12525.34,11082.95,3324.89,46.95,58,,2024-03-30
INV000013,CL5855,Kramer-Ferguson,REF-QN46ks46,Insurance,VIC,Non-profit,Cheque,361758.99,172382.28,189376.71,56813.01,52.35,38,,2024-01-28
INV000014,CL9736,Gregory-Munoz,REF-vm97wa36,Corporate Banking,SA,Non-profit,EFT,131825.21,75944.86,55880.35,16764.1,42.39,48,,2024-05-03
INV000015,CL8209,"Kelly, Phillips and Jefferson",REF-Aw24Qz63,Corporate Banking,TAS,Government,Credit Card,330817.63,203072.82,127744.81,38323.44,38.61,43,,2024-01-24
INV000016,CL3812,Rodriguez PLC,REF-RV30kG84,Operations,SA,Non-profit,Credit Card,335195.35,215536.68,119658.67,35897.6,35.7,31,,2024-11-11
INV000017,CL9219,Fitzpatrick-Baker,REF-ON67XO88,Treasury,WA,Enterprise,BPAY,431567.43,271798.89,159768.54,47930.56,37.02,7,,2023-04-26
INV000018,CL8276,"Mack, Gonzalez and Smith",REF-cd14At19,Corporate Banking,SA,Non-profit,Cheque,337788.76,223494.79,114293.97,34288.19,33.84,28,,2024-06-07
INV000019,CL4281,Arellano-Sims,REF-Wg99Yz43,Operations,NSW,Enterprise,EFT,314858.47,210562.07,104296.4,31288.92,33.12,84,Ratione eaque eveniet soluta temporibus.,2023-10-22
INV000020,CL5836,"Miles, Barnes and Best",REF-rD25KS43,Corporate Banking,VIC,Non-profit,Cheque,20820.63,8753.19,12067.44,3620.23,57.96,45,,2024-01-14
INV000021,CL7373,White-Durham,REF-eI79pD72,Insurance,QLD,Government,EFT,136076.94,70102.74,65974.2,19792.26,48.48,23,Accusamus ex laudantium excepturi quasi necessitatibus.,2024-04-02
INV000022,CL8850,"Hill, Smith and Flores",REF-dz42cd29,Treasury,NT,SME,Direct Debit,234265.24,162936.41,71328.83,21398.65,30.45,55,,2023-07-08
INV000023,CL9095,Dixon-Peters,REF-SX42Ao70,Retail Banking,ACT,Enterprise,BPAY,498606.37,290742.97,207863.4,62359.02,41.69,21,,2023-12-04
INV000024,CL5285,Wilson and Sons,REF-Jm44XJ51,Corporate Banking,QLD,Retail,Direct Debit,141299.59,57113.59,84186.0,25255.8,59.58,47,,2024-02-28
INV000025,CL3597,Miles Ltd,REF-ij81If12,Insurance,NSW,Non-profit,Credit Card,28639.4,16581.29,12058.11,3617.43,42.1,78,,2023-10-27
INV000026,CL6982,Malone Ltd,REF-NM62WN53,Retail Banking,WA,Retail,Credit Card,62997.83,28988.01,34009.82,10202.95,53.99,42,,2024-11-03
INV000027,CL2860,Peterson Inc,REF-lV56hj34,Operations,QLD,SME,Credit Card,328036.29,224810.11,103226.18,30967.85,31.47,17,,2024-11-25
INV000028,CL6798,Day-Boyd,REF-YY03pK61,Operations,WA,Retail,BPAY,21376.71,12386.88,8989.83,2696.95,42.05,55,,2023-06-20
INV000029,CL8145,Quinn-Morrison,REF-xq12uL27,Corporate Banking,SA,SME,Direct Debit,307488.07,159596.2,147891.87,44367.56,48.1,13,Nesciunt accusantium veniam.,2023-12-17
INV000030,CL7174,Acevedo LLC,REF-FB84Ze41,Operations,VIC,SME,BPAY,323235.9,188263.73,134972.17,40491.65,41.76,8,,2023-08-25
INV000031,CL3727,Gomez PLC,REF-yr55No50,Insurance,ACT,Government,EFT,397503.07,280624.72,116878.35,35063.5,29.4,17,,2023-06-15
INV000032,CL1184,"Hernandez, Craig and Gallagher",REF-TX46ol68,Wealth Management,SA,Government,Direct Debit,294250.28,119799.02,174451.26,52335.38,59.29,27,,2023-05-16
INV000033,CL6199,"Sullivan, Brown and Allen",REF-Ba42Kb91,Wealth Management,ACT,Enterprise,Cheque,401801.53,166387.28,235414.25,70624.27,58.59,27,,2024-09-13
INV000034,CL7546,Anderson and Sons,REF-LW40Bj42,Insurance,WA,SME,BPAY,307084.96,181730.34,125354.62,37606.39,40.82,9,,2023-10-23
INV000035,CL2539,Cantu Inc,REF-kL86ov71,Insurance,NSW,Retail,Direct Debit,32013.41,15514.27,16499.14,4949.74,51.54,40,,2023-06-17
